Paper,Year,Problem,Dataset,Method,Metrics,Limitation,How EchoTrace differs,Review status,Primary source
Greenberg et al. (Sailing the Information Ocean),2009,Source dependence in web evidence,Web information ecology,Dependence-aware evidence aggregation,Dependence and aggregation analysis,Conceptual/early web setting; not an LLM benchmark,Operationalizes source-family dependence for research-assistant retrieval and false corroboration,screened_primary,https://arxiv.org/abs/0909.1776
Dong et al. (Integrating Conflicting Data),2009,Conflicting claims with dependent sources,Web/database records,Source-dependence modeling,Truth-discovery accuracy,Focuses on truth discovery rather than cited RAG,Separates dependence detection from truth assessment and evaluates assistant behavior,screened_primary,https://lunadong.com/publication/dependence_vldb.pdf
Berti-Equille et al.,2009,Data-source reliability and dependence,Structured/web data,Probabilistic truth discovery,Truth-estimation metrics,Structured claims and assumptions about source relations,Uses document/passage evidence families and ambiguity-aware outputs,screened_primary,https://dl.acm.org/doi/10.1145/1651461.1651464
Carbonell and Goldstein (MMR),1998,Redundancy-aware retrieval,Newswire retrieval,Maximal marginal relevance,Retrieval relevance/diversity,Not designed for provenance or copied evidence,Provides the strongest retrieval-diversity baseline under matched budgets,screened_primary,https://aclanthology.org/X98-1025/
Santos et al. (xQuAD),2010,Intent-aware retrieval diversity,Web search queries,Explicit subtopic diversification,Intent coverage and relevance,Subtopics are not evidence lineages,Compares diversity against source-family coverage and false corroboration,screened_primary,https://dl.acm.org/doi/10.1145/1772690.1772775
Lewis et al. (RAG),2020,Knowledge-intensive generation,Open-domain QA corpora,Retriever-generator architecture,Exact match and QA metrics,Does not evaluate source dependence or citation provenance,Adds provenance-family diagnosis and confidence inflation measures,screened_primary,https://arxiv.org/abs/2005.11401
Gao et al. (ALCE),2023,Citation quality in generated answers,ASQA and QAMPARI,Retrieve-then-generate with citations,Citation correctness/completeness and answer quality,Primarily citation support; dependence is not manipulated,Adds controlled lineage interventions and family-level corroboration metrics,screened_primary,https://arxiv.org/abs/2305.14627
Saad-Falcon et al. (ARES),2024,RAG evaluation,Multiple QA benchmarks,Lightweight evaluator with synthetic training and human PPI labels,Context relevance; answer faithfulness; answer relevance; CIs,Evaluates support quality but not source-family dependence,Uses ARES-style independent validation ideas while targeting dependence and mitigation,screened_primary,https://aclanthology.org/2024.naacl-long.20/
Huang et al. (MIRAGE),2024,Attribution faithfulness in RAG,Multi-domain RAG tasks,Model-internals attribution analysis,Attribution faithfulness and localization,Requires model internals and does not model source lineage,Operates as an interpretable retrieval/evidence-family layer,screened_primary,https://aclanthology.org/2024.emnlp-main.347/
Provenance: A Light-weight Fact-checker,2024,Claim verification with provenance,Fact-checking datasets,Compact NLI-based provenance checker,AUC and fact-checking accuracy,Truth verification rather than dependence-aware retrieval,Separates attribution/entailment/truth and adds dependence-aware selection,screened_primary,https://aclanthology.org/2024.emnlp-industry.97/
RAGONITE,2024,Attribution under context changes,ConfQuestions and Confluence pages,Counterfactual context and metadata interventions,Attribution accuracy and robustness,Enterprise documents and narrow attribution setting,Tests false corroboration and source-family metadata on mixed evidence,screened_primary,https://arxiv.org/abs/2412.10571
Wallat et al. (Correctness is not Faithfulness),2024,Citation correctness versus model reliance,Generated RAG answers,Attribution probes and counterfactual tests,Citation correctness and faithfulness,Shows post-rationalized citations but does not test source dependence,Measures whether dependent citations inflate apparent support,screened_primary,https://arxiv.org/abs/2412.18004
Ren et al. (TRAQ),2024,Uncertainty guarantees for RAG,Open-domain QA,Conformal prediction for retrieval-augmented answers,Coverage and risk guarantees,Focuses on answer correctness rather than provenance relations,Adds calibrated abstention and family-count uncertainty,screened_primary,https://aclanthology.org/2024.naacl-long.210/
Abolghasemi et al.,2025,Attribution bias from metadata,Controlled attribution experiments,Metadata/authorship manipulation,Attribution accuracy and bias rates,Not a retrieval benchmark; dependence is not the target,Uses leakage probes and opaque identifiers to prevent metadata shortcuts,screened_primary,https://aclanthology.org/2025.findings-acl.1087/
ReClaim (Ground Every Sentence),2025,Sentence-level citation grounding,Long-form QA and research answers,Claim decomposition and citation retrieval,Citation precision/recall and answer quality,Does not distinguish independent from derivative citations,Adds family-aware citation coverage and false corroboration,screened_primary,https://aclanthology.org/2025.findings-naacl.55/
DeepResearch Bench,2025,Deep-research agent quality,100 PhD-level tasks across 22 fields,Agentic web research evaluation,Effective citation count and citation accuracy,Limited controlled manipulation of source lineage,Uses matched source-family conditions to isolate dependence effects,screened_primary,https://arxiv.org/abs/2506.11763
Evidence Tree Search,2025,Planning evidence collection for research,Research-style QA tasks,Tree search over evidence and claims,Answer and citation metrics,Planning benchmark does not factorize provenance relations,Tests whether lineage-aware retrieval improves evidence trees,screened_primary,https://arxiv.org/abs/2506.12632
TaxoBench,2025,Taxonomy and source attribution evaluation,Knowledge-intensive task set,Taxonomy-aware retrieval/evaluation,Task-specific accuracy and attribution,Not focused on repeated reporting or source families,Uses taxonomy as a relation label rather than a topical class,screened_primary,https://arxiv.org/abs/2506.12653
Cited but Not Verified,2026,Citation attribution and factual verification,14 deep-research systems and generated answers,Reproducible citation parser plus relevance/fact checks,Link validity; relevance; factual accuracy,Does not manipulate or infer shared evidence origins,Adds family dependence and confidence-overcounting measures,screened_primary,https://arxiv.org/abs/2605.06635
DeepWeb-Bench,2026,Long-horizon web research and reconciliation,Large-scale multi-domain web tasks,Agent benchmark with cross-source reconciliation and provenance records,Task success; citation/provenance metrics,Primarily broad agent capability; source dependence is not the causal intervention,Provides controlled counterfactual source relationships and a small real audit,screened_primary,https://arxiv.org/abs/2605.21482
Relevant Is Not Warranted (FORCEBENCH),2026,Evidence-force calibration,FORCEBENCH with 198 evidence pairs,Force-aware citation evaluation,Maximum verifiable claim and calibration metrics,Pairwise support force rather than source lineage,Measures whether repeated evidence is mistaken for independent force,screened_primary,https://arxiv.org/abs/2605.28044
LineageRAG,2026,Evidence lineage for query-derived demands,Lineage-oriented RAG tasks,Lineage-aware retrieval and graph construction,Lineage/retrieval metrics,Lineage is query/evidence derivation and differs from family dependence,Defines family dependence and false corroboration as the target outcome,screened_primary,https://arxiv.org/abs/2608.16004
Same Question Different Source Different Answer (TransplantQA/HERO-QA),2026,Source-dependence sensitivity in multi-source RAG,TransplantQA: 1,115 patient questions; 102 handbooks; 23 US institutions,HERO-QA hierarchical retrieval and structured judge,Source-dependence agreement; answer consistency; human kappa,Medical domain and observational source dependence; no controlled counterfactual benchmark,Targets general-purpose research assistants with factorized taxonomy, controlled interventions, and pilot science communication audit,screened_primary,https://arxiv.org/abs/2605.29084
HiGoE,2026,High-quality evidence retrieval for deep research,Deep-research evidence tasks,Hierarchical evidence organization and retrieval,Answer/citation quality,Focuses evidence quality and retrieval rather than dependence,Tests family-aware selection under equal context and utility constraints,screened_secondary,
Byrd (Source Independence Is a Measurable Property of Evidence),2026,Formal measurement of evidence independence,Conceptual/preprint framework,Proposed independence measures,Framework-level properties,Preprint and not a benchmark; definitions may evolve,Uses narrower source-family dependence labels and empirical benchmark tests,screened_primary,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6903718
PRISMA 2020,2021,Transparent evidence synthesis reporting,Systematic-review reporting standard,Checklist and flow reporting,Completeness/transparency criteria,Not an ML benchmark or provenance algorithm,Informs annotation/reproducibility and transparent reporting,screened_primary,https://www.bmj.com/content/372/bmj.n160
AHRQ Methods Guide for Comparative Effectiveness Reviews,2013,Assessing evidence quality and applicability,Clinical evidence reviews,Structured evidence grading,Quality/applicability judgments,Clinical review context rather than automated retrieval,Informs distinction between support, dependence, reliability, and truth,screened_primary,https://www.ncbi.nlm.nih.gov/books/NBK209522/
